"Address","Status Code","Title 1","Indexability","Indexability Status","GA Sessions","GA % New Sessions","GA Users","GA New Users","GA Bounce Rate","GA Page Views Per Session","GA Avg Session Duration","GA Goal Conversion Rate All","GA Goal Completions All","GA Goal Value All","GA Page Value"
"https://www.columbusrecoverycenter.com/continuing-education/","200","Continuning Education Events & On-Demand Webinars | The Recovery Village Columbus","Non-Indexable","Canonicalised","14","50.000","11","7","92.860","1.070","00:00:57","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/online-recovery-meetings/","200","Online Recovery Meetings - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","Non-Indexable","Canonicalised","1","100.000","1","1","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/treatment-programs/telehealth-app/","200","Online Rehab, Substance Abuse Counseling & Teletherapy Powered by Nobu","Non-Indexable","Canonicalised","15","53.330","14","8","93.330","1.070","00:00:01","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/ohio-rehab/cincinnati","301","","Non-Indexable","Redirected","1","100.000","2","1","0.000","15.000","00:21:57","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/ohio-rehab/canton","301","","Non-Indexable","Redirected","4","100.000","4","4","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/ohio-rehab/toledo","301","","Non-Indexable","Redirected","2","100.000","2","2","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/ohio-rehab/cleveland","301","","Non-Indexable","Redirected","3","100.000","3","3","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/ohio-rehab/dayton","301","","Non-Indexable","Redirected","8","75.000","8","6","100.000","1.000","00:00:03","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/ohio-rehab","301","","Non-Indexable","Redirected","41","85.370","38","35","80.490","1.320","00:01:16","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/blog/category/uncategorized/","200","Uncategorized Archives - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","Non-Indexable","noindex","1","0.000","1","0","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/blog/category/addiction/","200","Addiction Archives - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","Non-Indexable","noindex","2","0.000","1","0","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/blog/category/prescription-pills/","200","Prescription pills Archives - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","Non-Indexable","noindex","1","0.000","1","0","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/drugs/ecstasy-addiction/treatment-rehab","301","","Non-Indexable","Redirected","2","100.000","2","2","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/drugs/adderall-addiction/symptoms-side-effects","301","","Non-Indexable","Redirected","6","100.000","6","6","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/drugs/adderall-addiction/treatment-rehab","301","","Non-Indexable","Redirected","1","0.000","1","0","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/blog/category/drug-rehab/","200","Drug Rehab Archives - Columbus Recovery Center | Ohio Drug and Alcohol Rehab Facility","Non-Indexable","noindex","1","100.000","1","1","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/drugs/fentanyl-addiction/symptoms-side-effects/","404","","Non-Indexable","Client Error","1","100.000","1","1","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/drugs/fentanyl-addiction/overdose","301","","Non-Indexable","Redirected","1","100.000","1","1","0.000","4.000","00:03:25","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/drugs/effexor-addiction/treatment-rehab","301","","Non-Indexable","Redirected","10","60.000","10","6","70.000","1.700","00:05:13","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/drugs/effexor-addiction/symptoms-side-effects","301","","Non-Indexable","Redirected","343","89.210","313","306","94.750","1.060","00:00:25","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/drugs/adderall-addiction","301","","Non-Indexable","Redirected","2","50.000","2","1","50.000","4.000","00:13:56","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/drugs/meth-addiction","301","","Non-Indexable","Redirected","6","50.000","6","3","50.000","2.330","00:05:05","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/drugs/opiate-addiction","301","","Non-Indexable","Redirected","18","72.220","18","13","66.670","2.060","00:03:32","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/drugs/hydrocodone-addiction","301","","Non-Indexable","Redirected","4","25.000","3","1","0.000","3.750","00:06:48","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/drugs/percocet-addiction","301","","Non-Indexable","Redirected","13","92.310","13","12","76.920","1.460","00:00:21","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/drugs/percocet-addiction/withdrawal-detox","301","","Non-Indexable","Redirected","1","100.000","1","1","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/drugs/effexor-addiction/withdrawal-detox","301","","Non-Indexable","Redirected","16583","88.370","14623","14655","89.270","1.130","00:00:37","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/drugs/effexor-addiction","301","","Non-Indexable","Redirected","514","94.160","488","484","95.140","1.050","00:00:31","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/blog/binge-drinking-brain/","404","","Non-Indexable","Client Error","29","89.660","26","26","96.550","1.030","00:00:03","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/blog/binge-drinking-alcoholism/","404","","Non-Indexable","Client Error","4","50.000","4","2","0.000","3.250","00:02:02","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/drugs/benzodiazepine-addiction","301","","Non-Indexable","Redirected","2","50.000","1","1","100.000","1.000","00:00:00","0.000","0","0.000","0.000"
"https://www.columbusrecoverycenter.com/alcohol-addiction","301","","Non-Indexable","Redirected","14","35.710","10","5","64.290","1.790","00:02:23","0.000","0","0.000","0.000"
